nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Bezerros (PE);2022;61.694;32.455;52,61%;29.239;47,39%;5,2%;branca;médio
Bodocó (PE);2022;34.478;17.304;50,19%;17.174;49,81%;-1,9%;parda;baixo
Bom Conselho (PE);2022;44.294;23.121;52,2%;21.173;47,8%;-2,7%;parda;baixo
Bom Jardim (PE);2022;37.629;19.318;51,34%;18.311;48,66%;-0,5%;parda;baixo
Bonito (PE);2022;37.474;19.189;51,21%;18.285;48,79%;-0,2%;parda;baixo
Brejão (PE);2022;9.079;4.652;51,24%;4.427;48,76%;2,7%;parda;baixo
Brejinho (PE);2022;7.720;3.885;50,32%;3.835;49,68%;5,7%;parda;baixo
Brejo da Madre de Deus (PE);2022;48.648;24.781;50,94%;23.867;49,06%;7,7%;parda;baixo
Buenos Aires (PE);2022;12.808;6.560;51,22%;6.248;48,78%;2,2%;parda;baixo
Buíque (PE);2022;52.097;26.219;50,33%;25.878;49,67%;0%;parda;médio
Cabo de Santo Agostinho (PE);2022;203.440;105.724;51,97%;97.716;48,03%;10%;parda;grande
Cabrobó (PE);2022;30.294;15.659;51,69%;14.635;48,31%;-1,9%;parda;baixo
Cachoeirinha (PE);2022;19.899;10.285;51,69%;9.614;48,31%;5,7%;parda;baixo
Caetés (PE);2022;28.827;14.498;50,29%;14.329;49,71%;8,5%;parda;baixo
Calçado (PE);2022;11.093;5.583;50,33%;5.510;49,67%;-0,3%;parda;baixo
Calumbi (PE);2022;5.228;2.710;51,84%;2.518;48,16%;-7,4%;parda;baixo
Camaragibe (PE);2022;147.771;78.330;53,01%;69.441;46,99%;2,3%;parda;grande
Camocim de São Félix (PE);2022;17.419;8.970;51,5%;8.449;48,5%;1,8%;branca;baixo
Camutanga (PE);2022;7.750;3.964;51,15%;3.786;48,85%;-5%;parda;baixo
Canhotinho (PE);2022;24.329;11.652;47,89%;12.677;52,11%;-0,8%;parda;baixo
Capoeiras (PE);2022;18.338;9.236;50,37%;9.102;49,63%;-6,4%;parda;baixo
Carnaíba (PE);2022;18.644;9.515;51,04%;9.129;48,96%;0,4%;parda;baixo
Carnaubeira da Penha (PE);2022;12.239;6.003;49,05%;6.236;50,95%;3,9%;indigena;baixo
Carpina (PE);2022;79.293;42.044;53,02%;37.249;46,98%;5,9%;parda;médio
Caruaru (PE);2022;378.048;200.133;52,94%;177.915;47,06%;20%;parda;grande
Casinhas (PE);2022;12.967;6.530;50,36%;6.437;49,64%;-5,8%;parda;baixo
Catende (PE);2022;32.156;16.757;52,11%;15.399;47,89%;-15%;parda;baixo
Cedro (PE);2022;10.518;5.283;50,23%;5.235;49,77%;-2,4%;parda;baixo
Chã de Alegria (PE);2022;12.984;6.683;51,47%;6.301;48,53%;4,7%;parda;baixo
Chã Grande (PE);2022;20.546;10.391;50,57%;10.155;49,43%;2%;parda;baixo
Condado (PE);2022;24.587;12.835;52,2%;11.752;47,8%;1,3%;parda;baixo
Correntes (PE);2022;17.131;8.549;49,9%;8.582;50,1%;-1,7%;parda;baixo
Cortês (PE);2022;10.198;5.251;51,49%;4.947;48,51%;-18,1%;parda;baixo
Cumaru (PE);2022;15.920;8.033;50,46%;7.887;49,54%;-7,4%;parda;baixo
Cupira (PE);2022;23.518;12.450;52,94%;11.068;47,06%;0,5%;parda;baixo
Custódia (PE);2022;37.699;19.272;51,12%;18.427;48,88%;11,4%;parda;baixo
Dormentes (PE);2022;17.188;8.587;49,96%;8.601;50,04%;1,6%;parda;baixo
Escada (PE);2022;59.891;30.988;51,74%;28.903;48,26%;-5,7%;parda;médio
Exu (PE);2022;31.843;16.174;50,79%;15.669;49,21%;0,7%;parda;baixo
Feira Nova (PE);2022;21.427;11.156;52,07%;10.271;47,93%;4,2%;parda;baixo
Fernando de Noronha (PE);2022;3.167;1.516;47,87%;1.651;52,13%;20,4%;parda;baixo
Ferreiros (PE);2022;15.026;7.764;51,67%;7.262;48,33%;31,5%;parda;baixo
Flores (PE);2022;20.347;10.343;50,83%;10.004;49,17%;-8,2%;parda;baixo
Floresta (PE);2022;30.137;15.396;51,09%;14.741;48,91%;2,9%;parda;baixo
Frei Miguelinho (PE);2022;13.636;7.000;51,33%;6.636;48,67%;-4,6%;branca;baixo
Gameleira (PE);2022;18.214;9.260;50,84%;8.954;49,16%;-34,7%;parda;baixo
Garanhuns (PE);2022;142.506;75.852;53,23%;66.654;46,77%;10,1%;parda;grande
Glória do Goitá (PE);2022;29.347;15.036;51,24%;14.311;48,76%;1,1%;parda;baixo
Goiana (PE);2022;81.055;42.275;52,16%;38.780;47,84%;7,2%;parda;médio
Granito (PE);2022;6.967;3.465;49,73%;3.502;50,27%;1,6%;parda;baixo
Gravatá (PE);2022;86.516;45.054;52,08%;41.462;47,92%;13,2%;branca;médio
Iati (PE);2022;17.165;8.698;50,67%;8.467;49,33%;-6,5%;parda;baixo
Ibimirim (PE);2022;26.593;13.556;50,98%;13.037;49,02%;-1,3%;parda;baixo
Ibirajuba (PE);2022;7.140;3.556;49,8%;3.584;50,2%;-5,2%;parda;baixo
Igarassu (PE);2022;115.196;60.358;52,4%;54.838;47,6%;12,9%;parda;grande
Iguaracy (PE);2022;11.081;5.565;50,22%;5.516;49,78%;-5,9%;parda;baixo
Inajá (PE);2022;25.603;13.013;50,83%;12.590;49,17%;34,2%;parda;baixo
Ingazeira (PE);2022;4.765;2.343;49,17%;2.422;50,83%;6%;parda;baixo
Ipojuca (PE);2022;98.932;50.686;51,23%;48.246;48,77%;22,7%;parda;médio
Ipubi (PE);2022;29.009;14.638;50,46%;14.371;49,54%;3,2%;parda;baixo
Itacuruba (PE);2022;4.284;2.192;51,17%;2.092;48,83%;-1,9%;parda;baixo
Itaíba (PE);2022;32.650;16.354;50,09%;16.296;49,91%;24,4%;parda;baixo
Ilha de Itamaracá (PE);2022;24.540;11.136;45,38%;13.404;54,62%;12,1%;parda;baixo
Itambé (PE);2022;34.935;17.839;51,06%;17.096;48,94%;-1,3%;parda;baixo
Itapetim (PE);2022;13.791;7.040;51,05%;6.751;48,95%;-0,6%;parda;baixo
Itapissuma (PE);2022;27.749;12.492;45,02%;15.257;54,98%;16,7%;parda;baixo
Itaquitinga (PE);2022;16.554;7.773;46,96%;8.781;53,04%;5,5%;parda;baixo
Jaboatão dos Guararapes (PE);2022;644.037;344.100;53,43%;299.937;46,57%;-0,1%;parda;grande
Jaqueira (PE);2022;10.247;5.294;51,66%;4.953;48,34%;-10,9%;parda;baixo
Jataúba (PE);2022;15.843;8.032;50,7%;7.811;49,3%;0,2%;parda;baixo
Jatobá (PE);2022;14.020;7.155;51,03%;6.865;48,97%;0,4%;parda;baixo
João Alfredo (PE);2022;27.725;14.547;52,47%;13.178;47,53%;-9,8%;parda;baixo
Joaquim Nabuco (PE);2022;13.269;6.789;51,16%;6.480;48,84%;-15,9%;parda;baixo
Jucati (PE);2022;11.517;5.833;50,65%;5.684;49,35%;8,6%;parda;baixo
Jupi (PE);2022;15.329;7.846;51,18%;7.483;48,82%;11,8%;parda;baixo
Jurema (PE);2022;13.648;6.959;50,99%;6.689;49,01%;-6,1%;parda;baixo
Lagoa do Carro (PE);2022;17.981;9.400;52,28%;8.581;47,72%;12,3%;parda;baixo
Lagoa de Itaenga (PE);2022;19.003;9.959;52,41%;9.044;47,59%;-8%;parda;baixo
Lagoa do Ouro (PE);2022;11.933;6.140;51,45%;5.793;48,55%;-1,6%;parda;baixo
Lagoa dos Gatos (PE);2022;14.076;7.200;51,15%;6.876;48,85%;-9,9%;parda;baixo
Lagoa Grande (PE);2022;24.088;12.187;50,59%;11.901;49,41%;5,8%;parda;baixo
Lajedo (PE);2022;39.582;20.715;52,33%;18.867;47,67%;8,1%;parda;baixo
Limoeiro (PE);2022;56.510;29.440;52,1%;27.070;47,9%;1,9%;parda;médio
Macaparana (PE);2022;23.879;12.202;51,1%;11.677;48,9%;-0,2%;parda;baixo
Machados (PE);2022;11.333;5.919;52,23%;5.414;47,77%;-16,6%;parda;baixo
Manari (PE);2022;23.763;11.930;50,2%;11.833;49,8%;31,4%;parda;baixo
Maraial (PE);2022;9.359;4.790;51,18%;4.569;48,82%;-23,5%;parda;baixo
Mirandiba (PE);2022;14.166;7.132;50,35%;7.034;49,65%;-1%;parda;baixo
Moreno (PE);2022;55.292;28.906;52,28%;26.386;47,72%;-2,5%;parda;médio
Nazaré da Mata (PE);2022;30.648;16.259;53,05%;14.389;46,95%;-0,5%;parda;baixo
Olinda (PE);2022;349.976;189.293;54,09%;160.683;45,91%;-7,4%;parda;grande
Orobó (PE);2022;21.808;11.208;51,39%;10.600;48,61%;-4,7%;parda;baixo
Orocó (PE);2022;13.613;6.796;49,92%;6.817;50,08%;3,3%;parda;baixo
Ouricuri (PE);2022;65.245;33.078;50,7%;32.167;49,3%;1,4%;parda;médio
Palmares (PE);2022;54.584;28.213;51,69%;26.371;48,31%;-8,3%;parda;médio
Palmeirina (PE);2022;7.031;3.667;52,15%;3.364;47,85%;-14,1%;parda;baixo
Panelas (PE);2022;22.991;11.823;51,42%;11.168;48,58%;-10,3%;parda;baixo
Paranatama (PE);2022;12.199;6.220;50,99%;5.979;49,01%;10,9%;parda;baixo
Parnamirim (PE);2022;18.612;9.241;49,65%;9.371;50,35%;-8%;parda;baixo
Passira (PE);2022;28.340;14.587;51,47%;13.753;48,53%;-1%;parda;baixo
Paudalho (PE);2022;56.665;29.148;51,44%;27.517;48,56%;10,3%;parda;médio
Paulista (PE);2022;342.167;183.292;53,57%;158.875;46,43%;13,9%;parda;grande
Pedra (PE);2022;22.795;11.243;49,32%;11.552;50,68%;8,8%;parda;baixo
Pesqueira (PE);2022;62.722;32.405;51,66%;30.317;48,34%;-0,3%;parda;médio
Petrolândia (PE);2022;34.161;17.505;51,24%;16.656;48,76%;5,1%;parda;baixo
Petrolina (PE);2022;386.791;200.288;51,78%;186.503;48,22%;31,6%;parda;grande
Poção (PE);2022;10.500;5.535;52,71%;4.965;47,29%;-6,6%;parda;baixo
Pombos (PE);2022;27.552;14.129;51,28%;13.423;48,72%;14,6%;parda;baixo
Primavera (PE);2022;13.838;6.933;50,1%;6.905;49,9%;3%;parda;baixo
Quipapá (PE);2022;17.928;9.201;51,32%;8.727;48,68%;-25,9%;parda;baixo
Quixaba (PE);2022;6.554;3.282;50,08%;3.272;49,92%;-2,7%;parda;baixo
Recife (PE);2022;1.488.920;805.384;54,09%;683.536;45,91%;-3,2%;parda;grande
Riacho das Almas (PE);2022;20.639;10.481;50,78%;10.158;49,22%;7,7%;branca;baixo
Ribeirão (PE);2022;33.507;17.625;52,6%;15.882;47,4%;-24,6%;parda;baixo
Rio Formoso (PE);2022;20.009;10.139;50,67%;9.870;49,33%;-9,7%;parda;baixo
Sairé (PE);2022;10.887;5.490;50,43%;5.397;49,57%;-3,1%;branca;baixo
Salgadinho (PE);2022;5.727;2.934;51,23%;2.793;48,77%;-38,5%;parda;baixo
Salgueiro (PE);2022;62.372;32.250;51,71%;30.122;48,29%;10,1%;parda;médio
Saloá (PE);2022;13.836;7.237;52,31%;6.599;47,69%;-9,6%;parda;baixo
Sanharó (PE);2022;18.624;9.582;51,45%;9.042;48,55%;-15,2%;parda;baixo
Santa Cruz (PE);2022;13.841;6.793;49,08%;7.048;50,92%;1,8%;parda;baixo
Santa Cruz da Baixa Verde (PE);2022;11.567;5.920;51,18%;5.647;48,82%;-1,7%;parda;baixo
Santa Cruz do Capibaribe (PE);2022;98.254;50.770;51,67%;47.484;48,33%;12,2%;parda;médio
Santa Filomena (PE);2022;12.106;5.963;49,26%;6.143;50,74%;-9,5%;parda;baixo
Santa Maria da Boa Vista (PE);2022;40.578;20.124;49,59%;20.454;50,41%;2,9%;parda;baixo
Santa Maria do Cambucá (PE);2022;14.013;7.118;50,8%;6.895;49,2%;7,6%;parda;baixo
Santa Terezinha (PE);2022;10.244;5.289;51,63%;4.955;48,37%;-6,8%;parda;baixo
São Benedito do Sul (PE);2022;13.113;6.632;50,58%;6.481;49,42%;-5,9%;parda;baixo
São Bento do Una (PE);2022;49.449;25.074;50,71%;24.375;49,29%;-7,1%;parda;baixo
São Caitano (PE);2022;37.126;19.075;51,38%;18.051;48,62%;5,3%;parda;baixo
São João (PE);2022;23.837;12.164;51,03%;11.673;48,97%;11,8%;parda;baixo
São Joaquim do Monte (PE);2022;20.037;10.084;50,33%;9.953;49,67%;-2,2%;parda;baixo
São José da Coroa Grande (PE);2022;18.825;9.836;52,25%;8.989;47,75%;3,5%;parda;baixo
São José do Belmonte (PE);2022;34.843;17.714;50,84%;17.129;49,16%;6,8%;parda;baixo
São José do Egito (PE);2022;31.004;16.078;51,86%;14.926;48,14%;-2,6%;parda;baixo
São Lourenço da Mata (PE);2022;111.249;58.214;52,33%;53.035;47,67%;8,1%;parda;grande
São Vicente Férrer (PE);2022;16.677;8.511;51,03%;8.166;48,97%;-1,9%;parda;baixo
Serra Talhada (PE);2022;92.228;48.555;52,65%;43.673;47,35%;16,4%;parda;médio
Serrita (PE);2022;18.207;9.084;49,89%;9.123;50,11%;-0,7%;parda;baixo
Sertânia (PE);2022;32.811;16.766;51,1%;16.045;48,9%;-2,9%;parda;baixo
Sirinhaém (PE);2022;37.596;19.062;50,7%;18.534;49,3%;-6,7%;parda;baixo
Moreilândia (PE);2022;10.540;5.274;50,04%;5.266;49,96%;-5,3%;parda;baixo
Solidão (PE);2022;5.210;2.554;49,02%;2.656;50,98%;-9,3%;branca;baixo
Surubim (PE);2022;64.120;33.490;52,23%;30.630;47,77%;9,6%;parda;médio
Tabira (PE);2022;27.681;14.162;51,16%;13.519;48,84%;4,7%;parda;baixo
Tacaimbó (PE);2022;13.738;6.631;48,27%;7.107;51,73%;8%;parda;baixo
Tacaratu (PE);2022;23.902;11.878;49,69%;12.024;50,31%;8,3%;parda;baixo
Tamandaré (PE);2022;23.561;12.083;51,28%;11.478;48,72%;13,7%;parda;baixo
Taquaritinga do Norte (PE);2022;24.736;12.650;51,14%;12.086;48,86%;-0,7%;parda;baixo
Terezinha (PE);2022;6.513;3.275;50,28%;3.238;49,72%;-3,3%;parda;baixo
Terra Nova (PE);2022;8.920;4.353;48,8%;4.567;51,2%;-3,9%;parda;baixo
Timbaúba (PE);2022;46.147;24.268;52,59%;21.879;47,41%;-14,3%;parda;baixo
Toritama (PE);2022;41.137;21.294;51,76%;19.843;48,24%;15,7%;parda;baixo
Tracunhaém (PE);2022;13.867;7.102;51,22%;6.765;48,78%;6,2%;parda;baixo
Trindade (PE);2022;30.321;15.482;51,06%;14.839;48,94%;16,1%;parda;baixo
Triunfo (PE);2022;14.705;7.656;52,06%;7.049;47,94%;-2%;parda;baixo
Tupanatinga (PE);2022;26.937;13.676;50,77%;13.261;49,23%;10,3%;parda;baixo
Tuparetama (PE);2022;8.005;4.127;51,56%;3.878;48,44%;1%;parda;baixo
Venturosa (PE);2022;17.251;8.839;51,24%;8.412;48,76%;7,5%;parda;baixo
Verdejante (PE);2022;9.169;4.642;50,63%;4.527;49,37%;0,3%;parda;baixo
Vertente do Lério (PE);2022;7.558;3.798;50,25%;3.760;49,75%;-4%;parda;baixo
Vertentes (PE);2022;21.959;11.120;50,64%;10.839;49,36%;20,5%;parda;baixo
Vicência (PE);2022;26.359;13.598;51,59%;12.761;48,41%;-14,2%;parda;baixo
Vitória de Santo Antão (PE);2022;134.084;70.684;52,72%;63.400;47,28%;3,2%;parda;grande
Xexéu (PE);2022;11.611;5.943;51,18%;5.668;48,82%;-17,6%;parda;baixo
Acauã (PI);2022;6.420;3.144;48,97%;3.276;51,03%;-4,9%;branca;baixo
Agricolândia (PI);2022;4.940;2.556;51,74%;2.384;48,26%;-3,1%;parda;baixo
Água Branca (PI);2022;17.573;9.171;52,19%;8.402;47,81%;6,8%;parda;baixo
Alagoinha do Piauí (PI);2022;6.819;3.391;49,73%;3.428;50,27%;-7,1%;parda;baixo
Alegrete do Piauí (PI);2022;4.634;2.328;50,24%;2.306;49,76%;-10,1%;parda;baixo
Alto Longá (PI);2022;13.479;6.671;49,49%;6.808;50,51%;-1,2%;parda;baixo
Altos (PI);2022;47.453;23.779;50,11%;23.674;49,89%;22,2%;parda;baixo
Alvorada do Gurguéia (PI);2022;5.322;2.593;48,72%;2.729;51,28%;5,4%;parda;baixo
Amarante (PI);2022;17.234;8.788;50,99%;8.446;49,01%;0,6%;parda;baixo
Angical do Piauí (PI);2022;6.827;3.462;50,71%;3.365;49,29%;2,3%;parda;baixo
Anísio de Abreu (PI);2022;9.407;4.631;49,23%;4.776;50,77%;3,4%;parda;baixo
Antônio Almeida (PI);2022;3.152;1.555;49,33%;1.597;50,67%;3,7%;parda;baixo
Aroazes (PI);2022;5.369;2.739;51,02%;2.630;48,98%;-7,1%;parda;baixo
Aroeiras do Itaim (PI);2022;2.690;1.298;48,25%;1.392;51,75%;10,2%;parda;baixo
Arraial (PI);2022;4.520;2.249;49,76%;2.271;50,24%;-3,6%;parda;baixo
Assunção do Piauí (PI);2022;7.452;3.655;49,05%;3.797;50,95%;-0,7%;parda;baixo
Avelino Lopes (PI);2022;10.866;5.377;49,48%;5.489;50,52%;-1,8%;parda;baixo
Baixa Grande do Ribeiro (PI);2022;13.272;6.472;48,76%;6.800;51,24%;26,2%;parda;baixo
Barra D'Alcântara (PI);2022;3.995;2.085;52,19%;1.910;47,81%;3,7%;parda;baixo
Barras (PI);2022;47.938;23.890;49,84%;24.048;50,16%;6,9%;parda;baixo
Barreiras do Piauí (PI);2022;3.264;1.577;48,31%;1.687;51,69%;0,9%;parda;baixo
Barro Duro (PI);2022;6.640;3.421;51,52%;3.219;48,48%;0,5%;parda;baixo
Batalha (PI);2022;26.300;13.139;49,96%;13.161;50,04%;2%;parda;baixo
Bela Vista do Piauí (PI);2022;4.091;1.987;48,57%;2.104;51,43%;8,3%;branca;baixo
Belém do Piauí (PI);2022;3.423;1.721;50,28%;1.702;49,72%;4,2%;parda;baixo
Beneditinos (PI);2022;9.929;4.960;49,95%;4.969;50,05%;0,2%;parda;baixo
Bertolínia (PI);2022;5.562;2.728;49,05%;2.834;50,95%;4,6%;parda;baixo
Betânia do Piauí (PI);2022;6.220;3.055;49,12%;3.165;50,88%;3,4%;parda;baixo
Boa Hora (PI);2022;6.902;3.360;48,68%;3.542;51,32%;9,6%;parda;baixo
Bocaina (PI);2022;4.078;2.096;51,4%;1.982;48,6%;-6,7%;parda;baixo
Bom Jesus (PI);2022;28.796;14.467;50,24%;14.329;49,76%;27,3%;parda;baixo
Bom Princípio do Piauí (PI);2022;5.636;2.684;47,62%;2.952;52,38%;6,3%;parda;baixo
Bonfim do Piauí (PI);2022;5.913;2.900;49,04%;3.013;50,96%;9,6%;parda;baixo
Boqueirão do Piauí (PI);2022;6.545;3.308;50,54%;3.237;49,46%;5,7%;parda;baixo
Brasileira (PI);2022;8.436;4.208;49,88%;4.228;50,12%;5,9%;parda;baixo
Brejo do Piauí (PI);2022;3.904;1.932;49,49%;1.972;50,51%;1,4%;parda;baixo
Buriti dos Lopes (PI);2022;19.654;9.825;49,99%;9.829;50,01%;3%;parda;baixo
Buriti dos Montes (PI);2022;7.434;3.583;48,2%;3.851;51,8%;-6,8%;parda;baixo
Cabeceiras do Piauí (PI);2022;10.212;5.060;49,55%;5.152;50,45%;2,9%;parda;baixo
Cajazeiras do Piauí (PI);2022;3.108;1.543;49,65%;1.565;50,35%;-7%;parda;baixo
Cajueiro da Praia (PI);2022;7.957;3.899;49%;4.058;51%;11,1%;parda;baixo
Caldeirão Grande do Piauí (PI);2022;5.503;2.744;49,86%;2.759;50,14%;-3%;parda;baixo
Campinas do Piauí (PI);2022;4.938;2.403;48,66%;2.535;51,34%;-8,7%;parda;baixo
Campo Alegre do Fidalgo (PI);2022;4.616;2.226;48,22%;2.390;51,78%;-1,6%;parda;baixo
Campo Grande do Piauí (PI);2022;6.020;3.009;49,98%;3.011;50,02%;7,7%;parda;baixo
Campo Largo do Piauí (PI);2022;7.419;3.614;48,71%;3.805;51,29%;9,1%;parda;baixo
Campo Maior (PI);2022;45.793;23.820;52,02%;21.973;47,98%;1,4%;parda;baixo
Canavieira (PI);2022;3.414;1.660;48,62%;1.754;51,38%;-12,9%;parda;baixo
Canto do Buriti (PI);2022;19.365;9.751;50,35%;9.614;49,65%;-3,3%;parda;baixo
Capitão de Campos (PI);2022;11.100;5.654;50,94%;5.446;49,06%;1,3%;parda;baixo
Capitão Gervásio Oliveira (PI);2022;3.974;1.910;48,06%;2.064;51,94%;2,5%;parda;baixo
Caracol (PI);2022;10.318;5.070;49,14%;5.248;50,86%;1%;parda;baixo
Caraúbas do Piauí (PI);2022;5.630;2.778;49,34%;2.852;50,66%;1,9%;parda;baixo
Caridade do Piauí (PI);2022;5.033;2.471;49,1%;2.562;50,9%;4,3%;parda;baixo
Castelo do Piauí (PI);2022;19.288;9.716;50,37%;9.572;49,63%;5,2%;parda;baixo
Caxingó (PI);2022;5.496;2.653;48,27%;2.843;51,73%;9,1%;parda;baixo
Cocal (PI);2022;28.212;13.898;49,26%;14.314;50,74%;8,4%;parda;baixo
Cocal de Telha (PI);2022;4.911;2.473;50,36%;2.438;49,64%;8,5%;parda;baixo
Cocal dos Alves (PI);2022;6.386;3.212;50,3%;3.174;49,7%;14,6%;parda;baixo
Coivaras (PI);2022;4.117;1.997;48,51%;2.120;51,49%;8%;parda;baixo
Colônia do Gurguéia (PI);2022;6.150;3.093;50,29%;3.057;49,71%;1,9%;parda;baixo
Colônia do Piauí (PI);2022;6.994;3.492;49,93%;3.502;50,07%;-5,9%;parda;baixo
Conceição do Canindé (PI);2022;4.932;2.468;50,04%;2.464;49,96%;10,2%;parda;baixo
Coronel José Dias (PI);2022;4.250;2.018;47,48%;2.232;52,52%;-6,4%;parda;baixo
Corrente (PI);2022;27.278;13.491;49,46%;13.787;50,54%;7,4%;parda;baixo
Cristalândia do Piauí (PI);2022;7.356;3.491;47,46%;3.865;52,54%;-6,1%;parda;baixo
Cristino Castro (PI);2022;10.503;5.236;49,85%;5.267;50,15%;5,2%;parda;baixo
Curimatá (PI);2022;11.270;5.580;49,51%;5.690;50,49%;4,7%;parda;baixo
Currais (PI);2022;4.854;2.293;47,24%;2.561;52,76%;3,2%;parda;baixo
Curralinhos (PI);2022;4.413;2.175;49,29%;2.238;50,71%;5,5%;parda;baixo
Curral Novo do Piauí (PI);2022;5.073;2.505;49,38%;2.568;50,62%;4,2%;parda;baixo
Demerval Lobão (PI);2022;16.352;8.408;51,42%;7.944;48,58%;23,2%;parda;baixo
Dirceu Arcoverde (PI);2022;7.054;3.421;48,5%;3.633;51,5%;5,7%;parda;baixo
Dom Expedito Lopes (PI);2022;6.320;3.198;50,6%;3.122;49,4%;-3,8%;parda;baixo
Domingos Mourão (PI);2022;4.075;1.993;48,91%;2.082;51,09%;-4,4%;parda;baixo
Dom Inocêncio (PI);2022;9.159;4.373;47,75%;4.786;52,25%;-0,9%;parda;baixo
Elesbão Veloso (PI);2022;13.607;7.015;51,55%;6.592;48,45%;-6,2%;parda;baixo
Eliseu Martins (PI);2022;4.377;2.148;49,07%;2.229;50,93%;-6,2%;parda;baixo
Esperantina (PI);2022;40.970;20.778;50,72%;20.192;49,28%;8,5%;parda;baixo
Fartura do Piauí (PI);2022;5.284;2.549;48,24%;2.735;51,76%;4,1%;parda;baixo
Flores do Piauí (PI);2022;4.414;2.187;49,55%;2.227;50,45%;1,1%;parda;baixo
Floresta do Piauí (PI);2022;2.333;1.166;49,98%;1.167;50,02%;-6%;parda;baixo
Floriano (PI);2022;62.036;32.553;52,47%;29.483;47,53%;7,5%;parda;médio
Francinópolis (PI);2022;4.505;2.302;51,1%;2.203;48,9%;-13,9%;parda;baixo
Francisco Ayres (PI);2022;4.412;2.237;50,7%;2.175;49,3%;-1,5%;parda;baixo
Francisco Macedo (PI);2022;2.929;1.468;50,12%;1.461;49,88%;1,7%;parda;baixo
Francisco Santos (PI);2022;8.237;4.052;49,19%;4.185;50,81%;-4,1%;parda;baixo
Fronteiras (PI);2022;10.259;5.220;50,88%;5.039;49,12%;-7,7%;parda;baixo
Geminiano (PI);2022;5.445;2.712;49,81%;2.733;50,19%;-0,5%;parda;baixo
Gilbués (PI);2022;10.892;5.380;49,39%;5.512;50,61%;4,7%;parda;baixo
Guadalupe (PI);2022;10.270;5.231;50,93%;5.039;49,07%;0%;parda;baixo
Guaribas (PI);2022;4.276;2.113;49,42%;2.163;50,58%;-2,8%;parda;baixo
Hugo Napoleão (PI);2022;3.518;1.780;50,6%;1.738;49,4%;-6,7%;parda;baixo
Ilha Grande (PI);2022;9.274;4.597;49,57%;4.677;50,43%;4%;parda;baixo
Inhuma (PI);2022;14.958;7.499;50,13%;7.459;49,87%;0,8%;parda;baixo
Ipiranga do Piauí (PI);2022;9.420;4.765;50,58%;4.655;49,42%;1%;parda;baixo
Isaías Coelho (PI);2022;7.774;3.924;50,48%;3.850;49,52%;-5,4%;parda;baixo
Itainópolis (PI);2022;10.790;5.334;49,43%;5.456;50,57%;-2,9%;parda;baixo
Itaueira (PI);2022;10.323;5.132;49,71%;5.191;50,29%;-3,3%;parda;baixo
Jacobina do Piauí (PI);2022;5.613;2.816;50,17%;2.797;49,83%;-1,9%;parda;baixo
Jaicós (PI);2022;17.527;8.975;51,21%;8.552;48,79%;-2,8%;parda;baixo
Jardim do Mulato (PI);2022;4.180;2.076;49,67%;2.104;50,33%;-3%;parda;baixo
Jatobá do Piauí (PI);2022;4.494;2.175;48,4%;2.319;51,6%;-3,5%;parda;baixo
Jerumenha (PI);2022;4.497;2.208;49,1%;2.289;50,9%;2,4%;parda;baixo
João Costa (PI);2022;2.970;1.401;47,17%;1.569;52,83%;0,3%;parda;baixo
Joaquim Pires (PI);2022;13.886;6.779;48,82%;7.107;51,18%;0,5%;parda;baixo
Joca Marques (PI);2022;5.394;2.697;50%;2.697;50%;5,8%;parda;baixo
José de Freitas (PI);2022;42.559;21.571;50,68%;20.988;49,32%;14,8%;parda;baixo
Juazeiro do Piauí (PI);2022;5.214;2.527;48,47%;2.687;51,53%;9,6%;parda;baixo
Júlio Borges (PI);2022;5.388;2.526;46,88%;2.862;53,12%;0,3%;parda;baixo
Jurema (PI);2022;4.425;2.086;47,14%;2.339;52,86%;-2%;parda;baixo
Lagoinha do Piauí (PI);2022;2.939;1.454;49,47%;1.485;50,53%;10,7%;parda;baixo
Lagoa Alegre (PI);2022;8.256;4.070;49,3%;4.186;50,7%;3,1%;parda;baixo
Lagoa do Barro do Piauí (PI);2022;4.995;2.404;48,13%;2.591;51,87%;10,4%;parda;baixo
Lagoa de São Francisco (PI);2022;6.331;3.208;50,67%;3.123;49,33%;-1,4%;parda;baixo
Lagoa do Piauí (PI);2022;4.810;2.352;48,9%;2.458;51,1%;24,5%;parda;baixo
Lagoa do Sítio (PI);2022;4.520;2.195;48,56%;2.325;51,44%;-6,8%;parda;baixo
Landri Sales (PI);2022;5.213;2.685;51,51%;2.528;48,49%;-1,3%;parda;baixo
Luís Correia (PI);2022;30.641;15.126;49,37%;15.515;50,63%;7,9%;parda;baixo
Luzilândia (PI);2022;25.375;12.657;49,88%;12.718;50,12%;2,6%;parda;baixo
Madeiro (PI);2022;8.032;3.981;49,56%;4.051;50,44%;2,8%;parda;baixo
Manoel Emídio (PI);2022;5.209;2.522;48,42%;2.687;51,58%;-0,1%;parda;baixo
Marcolândia (PI);2022;8.533;4.280;50,16%;4.253;49,84%;9,2%;parda;baixo
Marcos Parente (PI);2022;4.724;2.425;51,33%;2.299;48,67%;6%;parda;baixo
Massapê do Piauí (PI);2022;5.218;2.580;49,44%;2.638;50,56%;-16,1%;parda;baixo
