city;educacao.ensino_fundamental_incompleto;educacao.ensino_fundamental_completo;educacao.ensino_medio_completo;educacao.ensino_superior_completo;educacao.alfabetizados;educacao.analfabetos
Itamarandiba (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itambacuri (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaobim (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itinga (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jacinto (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaíba (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Janaúba (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Januária (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Japonvar (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jenipapo de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jequitaí (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jequitinhonha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Joaíma (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jordânia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
José Gonçalves de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Josenópolis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juramento (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juvenília (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ladainha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa dos Patos (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lassance (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Leme do Prado (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lontra (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Luislândia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Machacalis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Malacacheta (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mamonas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Manga (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mata Verde (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matias Cardoso (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mato Verde (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Medina (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Minas Novas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mirabela (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Miravânia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Montalvânia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte Azul (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte Formoso (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Montes Claros (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Montezuma (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nanuque (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ninheira (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Porteirinha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Cruzeiro (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Oriente de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novorizonte (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olhos-d'Água (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ouro Verde de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Padre Carvalho (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Padre Paraíso (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pai Pedro (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmópolis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Patis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pavão (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra Azul (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedras de Maria da Cruz (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pescador (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pintópolis (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pirapora (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ponto Chique (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ponto dos Volantes (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porteirinha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poté (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachinho (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho dos Machados (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio do Prado (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Pardo de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Vermelho (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rubelita (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rubim (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salinas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salto da Divisa (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz de Salinas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Fé de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Helena de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Maria do Salto (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Antônio do Jacinto (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Antônio do Retiro (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João da Lagoa (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João da Ponte (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João das Missões (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Pacuí (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Paraíso (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Romão (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Setubinha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador Modestino Gonçalves (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra dos Aimorés (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serranópolis de Minas (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serro (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Taiobeiras (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teófilo Otoni (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Turmalina (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ubaí (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Umburatiba (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Urucuia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vargem Grande do Rio Pardo (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea da Palma (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Varzelândia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Verdelândia (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Veredinha (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Virgem da Lapa (MG);32,63%;13,03%;33,49%;20,85%;92%;26.939
Água Branca (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aguiar (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alagoa Grande (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alagoa Nova (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alagoinha (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alcantil (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Algodão de Jandaíra (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alhandra (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Rio do Peixe (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amparo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aparecida (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araçagi (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arara (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araruna (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Areia (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Areia de Baraúnas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Areial (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aroeiras (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Assunção (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baía da Traição (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bananeiras (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baraúna (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra de Santana (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra de Santa Rosa (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra de São Miguel (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bayeux (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belém (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belém do Brejo do Cruz (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bernardino Batista (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Ventura (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Vista (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jesus (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Sucesso (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bonito de Santa Fé (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boqueirão (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igaracy (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Borborema (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo do Cruz (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo dos Santos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caaporã (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cabaceiras (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cabedelo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cachoeira dos Índios (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cacimba de Areia (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cacimba de Dentro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cacimbas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caiçara (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cajazeiras (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cajazeirinhas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caldas Brandão (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camalaú (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campina Grande (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capim (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caraúbas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carrapateira (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Casserengue (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catingueira (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catolé do Rocha (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caturité (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Condado (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conde (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Congo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coremas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coxixola (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cruz do Espírito Santo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cubati (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cuité (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cuitegi (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cuité de Mamanguape (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Curral de Cima (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Curral Velho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Damião (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Desterro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vista Serrana (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Diamante (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dona Inês (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Duas Estradas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Emas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Esperança (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fagundes (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Frei Martinho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gado Bravo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guarabira (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gurinhém (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gurjão (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibiara (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Imaculada (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ingá (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itabaiana (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaporanga (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapororoca (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itatuba (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jacaraú (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jericó (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
João Pessoa (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juarez Távora (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juazeirinho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Junco do Seridó (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juripiranga (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juru (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa de Dentro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa Seca (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lastro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Livramento (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Logradouro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lucena (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mãe d'Água (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Malta (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mamanguape (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Manaíra (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marcação (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mari (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marizópolis (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Massaranduba (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mataraca (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matinhas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mato Grosso (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maturéia (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mogeiro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Montadas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte Horebe (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monteiro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mulungu (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Natuba (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nazarezinho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Floresta (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Olinda (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Palmeira (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olho d'Água (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olivedos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ouro Velho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parari (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Passagem (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Patos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paulista (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra Branca (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra Lavrada (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedras de Fogo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piancó (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Picuí (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pilar (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pilões (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pilõezinhos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pirpirituba (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pitimbu (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pocinhos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poço Dantas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poço de José de Moura (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pombal (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Prata (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Princesa Isabel (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Puxinanã (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Queimadas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quixaba (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Remígio (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro Régis (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachão (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachão do Bacamarte (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachão do Poço (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho de Santo Antônio (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho dos Cavalos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Tinto (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salgadinho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salgado de São Félix (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cecília (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Helena (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Inês (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Luzia (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana de Mangueira (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana dos Garrotes (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Joca Claudino (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Rita (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Teresinha (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo André (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Bento (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Bentinho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Domingos do Cariri (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Domingos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Cariri (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Tigre (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José da Lagoa Tapada (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José de Caiana (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José de Espinharas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José dos Ramos (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José de Piranhas (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José de Princesa (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Bonfim (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Brejo do Cruz (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Sabugi (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José dos Cordeiros (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Mamede (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel de Taipu (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Sebastião de Lagoa de Roça (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Sebastião do Umbuzeiro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sapé (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Vicente do Seridó (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Branca (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra da Raiz (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Grande (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Redonda (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serraria (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sertãozinho (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sobrado (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Solânea (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Soledade (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sossêgo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sousa (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sumé (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tacima (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Taperoá (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tavares (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teixeira (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tenório (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Triunfo (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Uiraúna (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Umbuzeiro (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vieirópolis (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Zabelê (PB);32,63%;13,03%;33,49%;20,85%;92%;26.939
Abreu e Lima (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Afogados da Ingazeira (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Afrânio (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Agrestina (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Água Preta (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Águas Belas (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alagoinha (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aliança (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Altinho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amaraji (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Angelim (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araçoiaba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araripina (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arcoverde (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra de Guabiraba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barreiros (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belém de Maria (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belém do São Francisco (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belo Jardim (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Betânia (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bezerros (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bodocó (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Conselho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jardim (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bonito (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejão (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejinho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo da Madre de Deus (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buenos Aires (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buíque (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cabo de Santo Agostinho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cabrobó (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cachoeirinha (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caetés (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Calçado (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Calumbi (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camaragibe (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camocim de São Félix (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camutanga (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canhotinho (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capoeiras (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carnaíba (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carnaubeira da Penha (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carpina (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caruaru (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Casinhas (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catende (PE);32,63%;13,03%;33,49%;20,85%;92%;26.939
